,subject,item,transition_start,transition_end,transition_duration,transition_start_trial,transition_end_trial,transition_duration_trial
25221,35,Karate,0,5,5,22,83,61
25225,35,Sweater,0,-1,-1,26,-1,-1
25236,35,Mouse,0,7,7,37,94,57
25255,35,Cards,0,-1,-1,56,-1,-1
25256,35,Garlic,0,-1,-1,57,-1,-1
25919,36,Banana,11,30,19,117,302,185
25920,36,Karate,11,20,9,187,398,211
25921,36,Sweater,17,-1,-1,536,-1,-1
25922,36,Cards,1,5,4,6,20,14
25926,36,Mouse,13,21,8,194,321,127
25927,36,Strawberry,5,11,6,170,355,185
25930,36,Clock,6,19,13,200,584,384
25936,36,Corn,8,18,10,167,361,194
25937,36,Garlic,3,49,46,27,268,241
25941,36,Frog,13,-1,-1,209,-1,-1
25945,36,Camel,0,3,3,26,93,67
25956,36,Coat,13,25,12,160,285,125
25975,36,Dolphin,-1,-1,-1,-1,-1,-1
25976,36,Pencil,-1,-1,-1,-1,-1,-1
26639,37,Banana,9,37,28,115,366,251
26640,37,Karate,4,7,3,65,123,58
26641,37,Sweater,5,10,5,127,310,183
26642,37,Cards,3,24,21,12,128,116
26646,37,Mouse,6,13,7,77,194,117
26647,37,Strawberry,8,-1,-1,240,-1,-1
26650,37,Clock,3,-1,-1,78,-1,-1
26656,37,Corn,5,-1,-1,108,-1,-1
26657,37,Garlic,7,30,23,39,154,115
26661,37,Frog,1,26,25,25,400,375
26665,37,Camel,13,-1,-1,391,-1,-1
26676,37,Coat,4,52,48,49,523,474
26695,37,Dolphin,-1,-1,-1,-1,-1,-1
26696,37,Pencil,-1,-1,-1,-1,-1,-1
27359,38,Banana,0,-1,-1,0,-1,-1
27360,38,Karate,0,-1,-1,1,-1,-1
27361,38,Sweater,0,-1,-1,2,-1,-1
27362,38,Cards,0,81,81,3,411,408
27366,38,Mouse,0,42,42,7,642,635
27367,38,Strawberry,0,-1,-1,8,-1,-1
27370,38,Clock,0,-1,-1,11,-1,-1
27376,38,Corn,0,-1,-1,17,-1,-1
27377,38,Garlic,0,54,54,18,279,261
27381,38,Frog,0,29,29,22,458,436
27385,38,Camel,0,-1,-1,26,-1,-1
27396,38,Coat,0,59,59,37,591,554
27415,38,Dolphin,0,-1,-1,56,-1,-1
27416,38,Pencil,0,-1,-1,57,-1,-1
28079,39,Garlic,10,44,34,116,427,311
28080,39,Frog,5,19,14,68,373,305
28081,39,Camel,11,-1,-1,316,-1,-1
28082,39,Dolphin,8,8,0,51,51,0
28086,39,Coat,7,21,14,80,321,241
28087,39,Clock,11,-1,-1,355,-1,-1
28090,39,Corn,9,-1,-1,288,-1,-1
28096,39,Mouse,8,31,23,167,608,441
28097,39,Pencil,28,28,0,149,149,0
28101,39,Banana,14,17,3,211,275,64
28105,39,Karate,10,17,7,334,535,201
28116,39,Cards,5,32,27,50,347,297
28135,39,Strawberry,5,-1,-1,349,-1,-1
28136,39,Sweater,5,-1,-1,353,-1,-1
28799,40,Garlic,9,35,26,115,343,228
28800,40,Frog,10,17,7,184,318,134
28801,40,Camel,11,14,3,316,435,119
28802,40,Dolphin,6,6,0,34,34,0
28806,40,Coat,13,17,4,194,260,66
28807,40,Clock,17,19,2,487,583,96
28810,40,Corn,-1,-1,-1,-1,-1,-1
28816,40,Mouse,5,25,20,108,483,375
28817,40,Pencil,6,36,30,38,190,152
28821,40,Banana,5,43,38,83,650,567
28825,40,Karate,11,-1,-1,340,-1,-1
28836,40,Cards,7,33,26,94,348,254
